Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-3M-AB46-01	2	132989979	136109076	1837	0.0656
TCGA-3M-AB46-01	2	136110306	136272671	97	-0.2723
TCGA-3M-AB46-01	2	136274148	140591737	2276	0.0643
TCGA-3M-AB46-01	2	140592531	148316888	4365	0.0288
TCGA-3M-AB46-01	2	148317673	205280109	31920	0.0711
TCGA-3M-AB46-01	2	205281363	205546385	175	0.4605
TCGA-3M-AB46-01	2	205547763	241537572	21880	0.0612
TCGA-3M-AB46-01	3	2170634	11527202	5505	0.5111
TCGA-3M-AB46-01	3	11530129	11816384	218	-0.5446
TCGA-3M-AB46-01	3	11820365	24738775	7458	0.4973
TCGA-3M-AB46-01	3	24740154	24743916	7	-0.741
TCGA-3M-AB46-01	3	24747413	30149632	3464	0.5114
TCGA-3M-AB46-01	3	30151053	30373487	140	0.6954
TCGA-3M-AB46-01	3	30373524	33215234	1860	0.5086
TCGA-3M-AB46-01	3	33219931	46069754	7579	0.095
TCGA-3M-AB46-01	3	46070267	52948077	2842	0.0236
TCGA-3M-AB46-01	3	52948143	58498794	3695	0.0978
TCGA-3M-AB46-01	3	58504281	66974700	5339	0.1366
TCGA-3M-AB46-01	3	66988770	69730607	1874	0.0899
TCGA-3M-AB46-01	3	69730839	69986160	280	-0.4843
TCGA-3M-AB46-01	3	70031714	71108266	702	0.1214
TCGA-3M-AB46-01	3	71117910	72717007	1173	0.0321
TCGA-3M-AB46-01	3	72717912	76726229	2170	0.0978
TCGA-3M-AB46-01	3	76726446	98888689	9344	0.051
TCGA-3M-AB46-01	3	98890781	118846677	11620	0.0843
TCGA-3M-AB46-01	3	118847226	126164668	4081	0.1218
TCGA-3M-AB46-01	3	126166718	126209984	45	0.0409
TCGA-3M-AB46-01	3	126210325	126211306	4	-0.9345
TCGA-3M-AB46-01	3	126212907	130149891	2047	0.0744
TCGA-3M-AB46-01	3	130152692	151391177	11586	0.127
TCGA-3M-AB46-01	3	151391497	153057275	1015	0.0726
TCGA-3M-AB46-01	3	153057340	162148105	4896	0.5233
TCGA-3M-AB46-01	3	162148157	167146433	1968	0.4617
TCGA-3M-AB46-01	3	167146900	175264943	4512	0.5325
TCGA-3M-AB46-01	3	175268370	175360729	93	-0.6401
TCGA-3M-AB46-01	3	176041258	196262434	11103	0.5068
TCGA-3M-AB46-01	3	196269818	197812401	326	0.0557
TCGA-3M-AB46-01	4	1059384	166670471	92195	-0.538
TCGA-3M-AB46-01	4	166671005	166672175	3	-2.6944
TCGA-3M-AB46-01	4	166673129	170311192	2044	-0.5168
TCGA-3M-AB46-01	4	170316812	170321038	2	-2.8291
TCGA-3M-AB46-01	4	170321770	171947152	888	-0.5473
TCGA-3M-AB46-01	4	171947302	171955619	3	-2.7576
TCGA-3M-AB46-01	4	171955886	175524728	1871	-0.5349
TCGA-3M-AB46-01	4	175529166	175529372	3	-2.511
TCGA-3M-AB46-01	4	175532435	187842528	6072	-0.5505
TCGA-3M-AB46-01	5	913983	18736537	11487	0.1128
TCGA-3M-AB46-01	5	18740489	30765451	6182	0.0755
TCGA-3M-AB46-01	5	30765545	35325453	2651	0.1266
TCGA-3M-AB46-01	5	35326340	40465618	3289	0.541
TCGA-3M-AB46-01	5	40466931	59041722	7671	0.122
TCGA-3M-AB46-01	5	59044512	66572090	3994	-0.517
TCGA-3M-AB46-01	5	66573762	66574117	3	-3.7809
TCGA-3M-AB46-01	5	66574645	69311338	1871	-0.5194
TCGA-3M-AB46-01	5	69324145	69444826	50	0.0697
TCGA-3M-AB46-01	5	69448492	74584578	2175	-0.5254
TCGA-3M-AB46-01	5	74589721	74642627	33	-1.8883
TCGA-3M-AB46-01	5	74643440	153793726	44725	-0.5491
TCGA-3M-AB46-01	5	153799254	158018596	2718	0.0607
TCGA-3M-AB46-01	5	158021261	175476764	11641	0.0869
TCGA-3M-AB46-01	5	175477513	180934240	2328	0.0314
TCGA-3M-AB46-01	6	1011760	25824586	17389	0.4738
TCGA-3M-AB46-01	6	25825355	33442048	2197	0.3762
TCGA-3M-AB46-01	6	33443788	33444441	5	-0.5839
TCGA-3M-AB46-01	6	33444543	37598447	2309	0.4151
TCGA-3M-AB46-01	6	37601804	43738305	4031	0.458
TCGA-3M-AB46-01	6	43738741	64457222	9510	0.5005
TCGA-3M-AB46-01	6	64458812	86637147	12516	0.4441
TCGA-3M-AB46-01	6	86637265	86641855	4	-1.1233
TCGA-3M-AB46-01	6	86642316	106578448	11029	0.4178
TCGA-3M-AB46-01	6	106580964	111866703	3133	0.0508
TCGA-3M-AB46-01	6	111868509	133632361	12735	0.4355
TCGA-3M-AB46-01	6	133633981	133635369	3	-0.9055
TCGA-3M-AB46-01	6	133638796	170596889	22120	0.4357
TCGA-3M-AB46-01	7	664936	16045863	7816	0.0594
TCGA-3M-AB46-01	7	16051871	35427211	11890	0.1071
TCGA-3M-AB46-01	7	35428183	158592540	62048	0.0727
TCGA-3M-AB46-01	8	667625	84206384	46503	-0.5451
TCGA-3M-AB46-01	8	84207782	89318454	2623	0.0711
TCGA-3M-AB46-01	8	89318526	92683201	1887	0.4933
TCGA-3M-AB46-01	8	92683488	106768275	8011	0.5217
TCGA-3M-AB46-01	8	106773260	106775319	3	-0.8672
TCGA-3M-AB46-01	8	106777154	107441224	472	0.5199
TCGA-3M-AB46-01	8	107442564	116497649	4749	0.4753
TCGA-3M-AB46-01	8	116497662	117868374	917	0.1282
TCGA-3M-AB46-01	8	117871902	118120143	192	-0.5483
TCGA-3M-AB46-01	8	118125146	123336979	3492	0.1328
TCGA-3M-AB46-01	8	123339439	124695708	894	0.2816
TCGA-3M-AB46-01	8	124695818	128441758	2736	0.1976
TCGA-3M-AB46-01	8	128442021	130922785	1635	0.2585
TCGA-3M-AB46-01	8	130924033	144182542	7867	0.1201
TCGA-3M-AB46-01	9	789794	33816478	20585	-0.5311
TCGA-3M-AB46-01	9	33819367	35002134	574	1.5354
TCGA-3M-AB46-01	9	35007339	35012736	2	-0.3272
TCGA-3M-AB46-01	9	35014362	35578004	280	1.5208
TCGA-3M-AB46-01	9	35578626	36577220	515	1.2564
TCGA-3M-AB46-01	9	36585027	36676821	44	1.707
TCGA-3M-AB46-01	9	36679447	36697738	8	0.2888
TCGA-3M-AB46-01	9	36697864	37336858	468	0.4155
TCGA-3M-AB46-01	9	37339454	38752071	1017	0.7556
TCGA-3M-AB46-01	9	68423153	111962214	29352	0.0685
TCGA-3M-AB46-01	9	111962685	111962738	2	-2.6938
TCGA-3M-AB46-01	9	111964426	113539146	818	0.0463
TCGA-3M-AB46-01	9	113540950	123342997	6986	0.4669
TCGA-3M-AB46-01	9	123343414	130194935	3739	0.0206
TCGA-3M-AB46-01	9	130197039	130264361	38	0.5248
TCGA-3M-AB46-01	9	130264837	138044505	3897	0.008
TCGA-3M-AB46-01	10	366509	20375216	14598	0.0466
TCGA-3M-AB46-01	10	20378045	20378061	2	-3.449
TCGA-3M-AB46-01	10	20379925	24134101	2310	0.0385
TCGA-3M-AB46-01	10	24137432	43029180	9605	0.4783
TCGA-3M-AB46-01	10	43029253	43030294	2	-2.3814
TCGA-3M-AB46-01	10	43030575	57792205	7302	0.4733
TCGA-3M-AB46-01	10	57792963	60181141	1744	0.5199
TCGA-3M-AB46-01	10	60181492	71733768	7010	0.4565
TCGA-3M-AB46-01	10	71745879	72152877	258	-0.0045
TCGA-3M-AB46-01	10	72154826	97057930	15190	-0.5487
TCGA-3M-AB46-01	10	97061390	109861345	7625	0.072
TCGA-3M-AB46-01	10	109864383	123775724	10018	0.1069
TCGA-3M-AB46-01	10	123776390	124108725	180	0.7751
TCGA-3M-AB46-01	10	124231733	130380993	4577	0.4867
TCGA-3M-AB46-01	10	130381157	133411599	700	0.0773
TCGA-3M-AB46-01	11	456012	11166236	5981	0.0631
TCGA-3M-AB46-01	11	11166444	20961763	7232	0.1006
TCGA-3M-AB46-01	11	20961864	26096420	3314	0.045
TCGA-3M-AB46-01	11	26103928	46515126	12837	0.4676
TCGA-3M-AB46-01	11	46519863	60811046	3818	0.0748
TCGA-3M-AB46-01	11	60814059	68914525	2921	0.0071
TCGA-3M-AB46-01	11	68914934	71940479	1636	0.0874
TCGA-3M-AB46-01	11	71940583	74208401	1054	-0.0019
TCGA-3M-AB46-01	11	74208719	105014440	19000	0.0747
TCGA-3M-AB46-01	11	105022967	134272740	19602	-0.5524
TCGA-3M-AB46-01	12	780472	6523303	3651	-0.5591
TCGA-3M-AB46-01	12	6527226	6531101	4	-2.0413
TCGA-3M-AB46-01	12	6534150	13239989	3153	-0.5693
TCGA-3M-AB46-01	12	13240248	17369918	2673	-0.4691
TCGA-3M-AB46-01	12	17371677	18900575	916	-0.5241
TCGA-3M-AB46-01	12	18904172	47185006	13907	0.078
TCGA-3M-AB46-01	12	47185314	57810526	5460	0.0367
TCGA-3M-AB46-01	12	57813376	108584988	31767	0.0749
TCGA-3M-AB46-01	12	108585173	111914072	1483	0.0154
TCGA-3M-AB46-01	12	111918756	120238287	5399	0.0922
TCGA-3M-AB46-01	12	120240214	123739621	1497	-0.0093
TCGA-3M-AB46-01	12	123742302	132605822	4298	0.0808
TCGA-3M-AB46-01	13	18874255	25979360	3653	-0.5632
TCGA-3M-AB46-01	13	25981250	31317024	3870	0.4803
TCGA-3M-AB46-01	13	31318549	37589854	4201	0.7661
TCGA-3M-AB46-01	13	37592777	41264367	2496	0.7205
TCGA-3M-AB46-01	13	41271583	47286145	3808	0.775
TCGA-3M-AB46-01	13	47288752	54118841	3255	0.4464
TCGA-3M-AB46-01	13	54118883	72161772	8900	0.4232
TCGA-3M-AB46-01	13	72164645	74006099	1279	0.5002
TCGA-3M-AB46-01	13	74006179	94163576	12304	0.423
TCGA-3M-AB46-01	13	94164390	113599142	12923	0.4552
TCGA-3M-AB46-01	13	113603396	113636193	26	-0.6737
TCGA-3M-AB46-01	13	113638083	114226675	115	0.4122
TCGA-3M-AB46-01	14	20033191	28989870	4350	0.3901
TCGA-3M-AB46-01	14	28997447	31395094	1315	0.6546
TCGA-3M-AB46-01	14	31396229	41023091	5734	0.4121
TCGA-3M-AB46-01	14	41023207	52934543	5960	0.3653
TCGA-3M-AB46-01	14	52940857	54824977	1279	0.4053
TCGA-3M-AB46-01	14	54827221	54988369	91	-0.0088
TCGA-3M-AB46-01	14	54988389	71145020	9768	-0.5359
TCGA-3M-AB46-01	14	71148088	103214479	20401	0.0376
TCGA-3M-AB46-01	14	103214735	103214813	2	-3.124
TCGA-3M-AB46-01	14	103215897	105533894	761	0.0043
TCGA-3M-AB46-01	15	23437561	37118819	6378	0.0942
TCGA-3M-AB46-01	15	37121397	42293240	3086	-0.5494
TCGA-3M-AB46-01	15	42293770	42294280	2	-2.947
TCGA-3M-AB46-01	15	42297583	58204454	9261	-0.5259
TCGA-3M-AB46-01	15	58211543	58245579	30	0.1027
TCGA-3M-AB46-01	15	58247530	58248185	4	-0.7051
TCGA-3M-AB46-01	15	58248977	58298120	34	0.0589
TCGA-3M-AB46-01	15	58298744	94563168	21560	-0.5609
TCGA-3M-AB46-01	15	94563645	94590308	19	-1.8169
TCGA-3M-AB46-01	15	94592764	101344124	4255	-0.5559
TCGA-3M-AB46-01	16	603333	1529010	155	0.0521
TCGA-3M-AB46-01	16	1529759	4852480	1386	-0.0221
TCGA-3M-AB46-01	16	4852607	11177648	4236	0.1155
TCGA-3M-AB46-01	16	11179371	26793147	6608	0.0748
TCGA-3M-AB46-01	16	26793207	31738132	1596	0.0011
TCGA-3M-AB46-01	16	31738698	50708023	2414	0.0961
TCGA-3M-AB46-01	16	50708151	78584034	17542	-0.5381
TCGA-3M-AB46-01	16	78587476	78608909	18	-3.0742
TCGA-3M-AB46-01	16	78609232	78632255	17	-1.4919
TCGA-3M-AB46-01	16	78634311	86047781	5378	-0.5488
TCGA-3M-AB46-01	16	86050276	86052386	5	-1.9233
TCGA-3M-AB46-01	16	86052527	89317317	1745	-0.5914
TCGA-3M-AB46-01	17	1074619	21774057	9704	-0.579
TCGA-3M-AB46-01	17	26943491	38363338	4992	0.4508
TCGA-3M-AB46-01	17	38363920	49721631	4799	0.41
TCGA-3M-AB46-01	17	49726059	54471808	2494	0.4585
TCGA-3M-AB46-01	17	54473516	69887412	8763	0.0564
TCGA-3M-AB46-01	17	69898906	72531936	2068	0.4205
TCGA-3M-AB46-01	17	72532066	72631328	69	0.1636
TCGA-3M-AB46-01	17	72635280	74804288	940	0.4239
TCGA-3M-AB46-01	17	74804468	82959812	3384	0.3185
TCGA-3M-AB46-01	18	326691	12244141	7058	-0.5475
TCGA-3M-AB46-01	18	12244221	14661644	1175	0.03
TCGA-3M-AB46-01	18	21109102	21673261	219	0.7133
TCGA-3M-AB46-01	18	21676185	21988296	144	0.9889
TCGA-3M-AB46-01	18	21989812	22227108	128	0.8072
TCGA-3M-AB46-01	18	22231405	22508970	170	1.0249
TCGA-3M-AB46-01	18	22517485	23466234	524	0.7437
TCGA-3M-AB46-01	18	23471398	23843018	212	0.973
TCGA-3M-AB46-01	18	23843636	24314979	307	0.7219
TCGA-3M-AB46-01	18	24315013	24584203	212	0.4409
TCGA-3M-AB46-01	18	24586798	24645543	37	0.3738
TCGA-3M-AB46-01	18	24646770	26787448	1420	0.0676
TCGA-3M-AB46-01	18	26787465	26787479	2	-1.7619
TCGA-3M-AB46-01	18	26787566	26997256	154	0.1369
TCGA-3M-AB46-01	18	26999879	50965154	14856	-0.5249
TCGA-3M-AB46-01	18	50965798	51068528	135	-1.5064
TCGA-3M-AB46-01	18	51068647	57677850	4216	-0.5346
TCGA-3M-AB46-01	18	57678667	57685333	9	-1.8773
TCGA-3M-AB46-01	18	57687188	79349796	11834	-0.539
TCGA-3M-AB46-01	19	283868	301668	10	0.2871
TCGA-3M-AB46-01	19	305278	5885354	1475	-0.0024
TCGA-3M-AB46-01	19	5893602	6055195	72	-0.6739
TCGA-3M-AB46-01	19	6059829	22452651	6698	-0.0133
TCGA-3M-AB46-01	19	22456547	34986137	5835	0.0467
TCGA-3M-AB46-01	19	34987297	38258099	1656	8.00E-04
TCGA-3M-AB46-01	19	38262230	38296805	20	-0.6888
TCGA-3M-AB46-01	19	38298537	49603229	4722	0.0211
TCGA-3M-AB46-01	19	49607353	58370362	3638	0.3893
TCGA-3M-AB46-01	20	472817	5212691	2960	0.0273
TCGA-3M-AB46-01	20	5213241	24215942	13028	0.1124
TCGA-3M-AB46-01	20	24216701	26217295	948	0.058
TCGA-3M-AB46-01	20	31247668	35988980	2273	0.7239
TCGA-3M-AB46-01	20	35990302	48577138	8266	0.4885
TCGA-3M-AB46-01	20	48577468	62732370	9775	0.3979
TCGA-3M-AB46-01	20	62741749	62741794	2	-1.609
TCGA-3M-AB46-01	20	62744224	63515927	235	0.3559
TCGA-3M-AB46-01	20	63524700	63588502	23	0.2701
TCGA-3M-AB46-01	21	13974127	17871051	2347	0.0781
TCGA-3M-AB46-01	21	17874149	27342478	6185	0.0334
TCGA-3M-AB46-01	21	27350665	39321564	8015	0.067
TCGA-3M-AB46-01	21	39321697	41211895	1508	0.1388
TCGA-3M-AB46-01	21	41212214	46262057	2503	0.0436
TCGA-3M-AB46-01	22	16934932	36188665	9336	-0.5407
TCGA-3M-AB46-01	22	36188898	48748288	7560	-0.5982
TCGA-3M-AB46-01	22	48749316	48757059	9	-0.4037
TCGA-3M-AB46-01	22	48757470	48757652	4	0.3776
TCGA-3M-AB46-01	22	48757943	48760426	14	-0.5511
TCGA-3M-AB46-01	22	48761226	48761306	2	-4.4556
TCGA-3M-AB46-01	22	48761781	48940621	99	-0.6244
TCGA-3M-AB46-01	X	3236359	10451329	1771	0.5827
TCGA-3M-AB46-01	X	10452145	25405627	7803	-0.0776
TCGA-3M-AB46-01	X	25408767	30061020	2528	0.5976
TCGA-3M-AB46-01	X	30065306	31259034	578	0.0828
TCGA-3M-AB46-01	X	31262767	34889714	1340	-0.0622
TCGA-3M-AB46-01	X	34889835	34890543	2	-2.5021
TCGA-3M-AB46-01	X	34891352	137212129	41483	-0.0597
TCGA-3M-AB46-01	X	137214833	145221567	3699	0.3349
TCGA-3M-AB46-01	X	145221633	155677414	4599	-0.0759
TCGA-B7-A5TJ-01	1	3301765	7122432	2467	-0.2542
TCGA-B7-A5TJ-01	1	7130746	12774437	2902	-0.2061
TCGA-B7-A5TJ-01	1	13468357	14987624	1208	-0.2685
TCGA-B7-A5TJ-01	1	14989823	26233560	6058	-0.2179
TCGA-B7-A5TJ-01	1	26235540	29108851	1070	-0.1726
TCGA-B7-A5TJ-01	1	29110594	54590204	13723	-0.2297
TCGA-B7-A5TJ-01	1	54591990	79964497	16454	-0.2601
TCGA-B7-A5TJ-01	1	79970631	82652071	1695	-0.2984
TCGA-B7-A5TJ-01	1	82652171	95209154	7861	-0.2544
TCGA-B7-A5TJ-01	1	95210955	95210962	2	-1.5266
TCGA-B7-A5TJ-01	1	95214568	104135396	5088	-0.2595
TCGA-B7-A5TJ-01	1	104136218	104138027	4	-1.7006
TCGA-B7-A5TJ-01	1	104138726	119984772	9554	-0.254
TCGA-B7-A5TJ-01	1	146716041	157015150	3338	0.2923
TCGA-B7-A5TJ-01	1	157015638	186948388	19714	0.2577
TCGA-B7-A5TJ-01	1	186948836	186979089	34	0.3641
TCGA-B7-A5TJ-01	1	186982297	190706082	2200	0.212
TCGA-B7-A5TJ-01	1	190706389	190706406	2	-1.1305
TCGA-B7-A5TJ-01	1	190710852	199361364	4998	0.2335
TCGA-B7-A5TJ-01	1	199363162	201181988	1160	0.2551
TCGA-B7-A5TJ-01	1	201183060	207105106	3748	0.2847
TCGA-B7-A5TJ-01	1	207112643	215883006	6077	0.257
TCGA-B7-A5TJ-01	1	215884376	218963794	2164	0.2162
TCGA-B7-A5TJ-01	1	218964306	222032099	2097	0.2443
TCGA-B7-A5TJ-01	1	222032466	236177177	8727	0.2732
TCGA-B7-A5TJ-01	1	236180918	245262409	6329	0.2379
TCGA-B7-A5TJ-01	1	245262758	245393555	84	-0.8562
TCGA-B7-A5TJ-01	1	245394997	247650984	932	0.2665
TCGA-B7-A5TJ-01	2	480597	2386802	498	0.0417
TCGA-B7-A5TJ-01	2	2386847	3804085	968	0.0812
TCGA-B7-A5TJ-01	2	3804100	7238198	2674	0.0502
TCGA-B7-A5TJ-01	2	7239092	12143374	3299	0.1149
TCGA-B7-A5TJ-01	2	12144675	17214962	3382	0.0664
TCGA-B7-A5TJ-01	2	17215281	48682032	18381	0.1017
TCGA-B7-A5TJ-01	2	48682054	59246814	5692	0.0708
TCGA-B7-A5TJ-01	2	59246916	76277130	9913	0.1026
TCGA-B7-A5TJ-01	2	76277343	82988190	3491	0.0525
TCGA-B7-A5TJ-01	2	82988318	115538675	12907	0.1072
TCGA-B7-A5TJ-01	2	115542034	139360948	11834	0.0826
TCGA-B7-A5TJ-01	2	139361524	146715326	4248	0.0381
TCGA-B7-A5TJ-01	2	146720435	229481456	47942	0.088
TCGA-B7-A5TJ-01	2	229481569	236144421	3773	0.0121
TCGA-B7-A5TJ-01	2	236144583	236144591	2	-1.422
TCGA-B7-A5TJ-01	2	236144870	241537572	3156	-0.0027
TCGA-B7-A5TJ-01	3	2170634	36941405	20877	-0.2657
TCGA-B7-A5TJ-01	3	36941843	47024000	5915	-0.2426
TCGA-B7-A5TJ-01	3	47026843	53522196	2638	-0.1998
TCGA-B7-A5TJ-01	3	53522496	55773301	1803	-0.2905
TCGA-B7-A5TJ-01	3	55773486	69537336	8656	-0.2548
TCGA-B7-A5TJ-01	3	69538810	89603215	11130	-0.2806
TCGA-B7-A5TJ-01	3	89604134	110306077	8958	0.1015
TCGA-B7-A5TJ-01	3	110306100	110306117	2	-1.1849
TCGA-B7-A5TJ-01	3	110308618	181453485	38631	0.109
TCGA-B7-A5TJ-01	3	181455755	197812401	8535	0.1301
TCGA-B7-A5TJ-01	4	1059384	3278755	887	-0.2211
TCGA-B7-A5TJ-01	4	3280732	31148519	18031	-0.2747
TCGA-B7-A5TJ-01	4	31157033	31235774	57	-1.1992
TCGA-B7-A5TJ-01	4	31237189	35095229	2088	-0.3027
TCGA-B7-A5TJ-01	4	35096286	43867683	5175	-0.2507
TCGA-B7-A5TJ-01	4	43868215	43868246	2	-2.0614
TCGA-B7-A5TJ-01	4	43868569	57264283	5566	-0.2656
TCGA-B7-A5TJ-01	4	57272246	67055912	5476	-0.3052
TCGA-B7-A5TJ-01	4	67056701	90610791	13238	-0.2472
TCGA-B7-A5TJ-01	4	90611310	90886022	169	-0.7387
TCGA-B7-A5TJ-01	4	90895983	129603066	21500	-0.2584
TCGA-B7-A5TJ-01	4	129604184	137766315	3806	-0.2938
TCGA-B7-A5TJ-01	4	137768719	155701575	10294	-0.2571
TCGA-B7-A5TJ-01	4	155702597	157166613	938	-0.3228
TCGA-B7-A5TJ-01	4	157167105	161279376	2314	-0.241
TCGA-B7-A5TJ-01	4	161279822	167485412	3355	-0.2904
TCGA-B7-A5TJ-01	4	167485721	175778211	4505	-0.2545
TCGA-B7-A5TJ-01	4	175779215	175779314	2	-1.7994
TCGA-B7-A5TJ-01	4	175779418	175938010	113	-0.2388
TCGA-B7-A5TJ-01	4	175938115	182506162	3735	-0.3108
TCGA-B7-A5TJ-01	4	182506295	187842528	2155	-0.2758
TCGA-B7-A5TJ-01	5	913983	2808941	926	-0.4206
TCGA-B7-A5TJ-01	5	2809287	3018134	163	-0.2984
TCGA-B7-A5TJ-01	5	3021030	6759601	3130	-0.4231
TCGA-B7-A5TJ-01	5	6759907	6760386	2	-1.8298
TCGA-B7-A5TJ-01	5	6762657	12669435	4127	-0.3882
TCGA-B7-A5TJ-01	5	12745822	18151947	2785	-0.2158
TCGA-B7-A5TJ-01	5	18155909	29788907	6026	-0.2781
TCGA-B7-A5TJ-01	5	29789124	36083365	3767	-0.2099
TCGA-B7-A5TJ-01	5	36083866	38887478	1697	-0.2484
TCGA-B7-A5TJ-01	5	38887678	41943460	1911	-0.2023
TCGA-B7-A5TJ-01	5	41944995	44838900	1377	-0.1535
TCGA-B7-A5TJ-01	5	44844323	59354253	5657	-0.2051
TCGA-B7-A5TJ-01	5	59354284	59427410	75	-0.8099
TCGA-B7-A5TJ-01	5	59428251	59558762	89	-1.4492
TCGA-B7-A5TJ-01	5	59559813	59675206	95	-0.8358
TCGA-B7-A5TJ-01	5	59676424	61144544	707	-0.1646
TCGA-B7-A5TJ-01	5	61145144	66480083	2753	-0.2183
TCGA-B7-A5TJ-01	5	66483439	67267231	629	-0.396
TCGA-B7-A5TJ-01	5	67267380	71407086	1386	-0.3529
TCGA-B7-A5TJ-01	5	71408250	90903898	11120	-0.4053
TCGA-B7-A5TJ-01	5	90913246	91297084	262	-0.6036
TCGA-B7-A5TJ-01	5	91303368	127855572	19952	-0.4056
TCGA-B7-A5TJ-01	5	127856013	128049599	129	-0.0466
TCGA-B7-A5TJ-01	5	128056300	136512160	5008	-0.3882
TCGA-B7-A5TJ-01	5	136513072	162959843	16454	-0.2941
TCGA-B7-A5TJ-01	5	162961946	170785123	5403	-0.3306
TCGA-B7-A5TJ-01	5	170786006	180934240	5401	-0.2886
TCGA-B7-A5TJ-01	6	1011760	1696582	572	0.1203
TCGA-B7-A5TJ-01	6	1696607	1696867	2	-1.4499
TCGA-B7-A5TJ-01	6	1697397	21133785	13684	0.1057
TCGA-B7-A5TJ-01	6	21134222	21139407	10	0.8337
TCGA-B7-A5TJ-01	6	21140068	29845239	4667	0.0906
TCGA-B7-A5TJ-01	6	29849329	37604996	2995	0.1401
TCGA-B7-A5TJ-01	6	37605690	41687602	2977	0.0961
TCGA-B7-A5TJ-01	6	41689536	43675951	1015	0.1689
TCGA-B7-A5TJ-01	6	43677063	45797055	1191	0.1139
TCGA-B7-A5TJ-01	6	45797516	45797523	2	-1.0637
TCGA-B7-A5TJ-01	6	45798480	64889405	8615	0.1065
TCGA-B7-A5TJ-01	6	64890713	68966014	2366	0.0605
TCGA-B7-A5TJ-01	6	68966271	88442760	10988	0.1058
TCGA-B7-A5TJ-01	6	88448290	88453786	4	0.9608
TCGA-B7-A5TJ-01	6	88454319	89755121	800	0.1068
TCGA-B7-A5TJ-01	6	89755519	91943144	1365	0.0664
TCGA-B7-A5TJ-01	6	91944677	91948094	3	-0.8748
TCGA-B7-A5TJ-01	6	91948231	96714812	2038	0.0787
TCGA-B7-A5TJ-01	6	96717560	96718764	3	-1.001
TCGA-B7-A5TJ-01	6	96723230	104809760	4613	0.0741
TCGA-B7-A5TJ-01	6	104811570	111592087	4081	0.1158
TCGA-B7-A5TJ-01	6	111593497	111593645	2	-1.979
TCGA-B7-A5TJ-01	6	111593739	162754770	31309	0.1042
TCGA-B7-A5TJ-01	6	162756891	164430933	1066	0.029
TCGA-B7-A5TJ-01	6	164431112	170596889	2738	0.1008
TCGA-B7-A5TJ-01	7	664936	7633701	2752	0.157
TCGA-B7-A5TJ-01	7	7634974	40623113	20524	0.1177
TCGA-B7-A5TJ-01	7	40623817	42308910	1203	0.0701
TCGA-B7-A5TJ-01	7	42313002	45437588	1454	0.1248
TCGA-B7-A5TJ-01	7	45445978	45446625	2	-1.0016
TCGA-B7-A5TJ-01	7	45453212	46453114	658	0.1076
TCGA-B7-A5TJ-01	7	46454420	46454435	2	-1.1835
TCGA-B7-A5TJ-01	7	46454448	49865437	2418	0.1146
TCGA-B7-A5TJ-01	7	49866328	51605710	1228	0.1487
TCGA-B7-A5TJ-01	7	51605911	72189057	7202	0.102
TCGA-B7-A5TJ-01	7	72189190	78033863	1659	0.1624
TCGA-B7-A5TJ-01	7	78034169	80374748	1608	0.1028
TCGA-B7-A5TJ-01	7	80375508	80442627	33	0.3695
TCGA-B7-A5TJ-01	7	80444900	96381736	8368	0.0927
TCGA-B7-A5TJ-01	7	96381948	106461773	4909	0.1329
